line	pos	sign	conf	value	grade
Carta 58	14	8		i	C
Carta 58	15	c		u	M
Carta 58	16	19		e	C
Carta 58	17	m		n	C
Carta 58	18	5		c	C
Carta 58	19	8		i	C
Carta 58	20	17		a	C
Carta 58	21	14		n	C
Carta 58	22	4		s	C
Carta 58	23	15		o	C
Carta 58	24	21		b	C
Carta 58	25	15		o	C
Carta 58	26	12		r	C
Carta 58	27	m		n	C
Carta 58	28	15		o	C
Carta 58	29	2		d	M
Carta 58	30	17		a	C
Carta 58	31	4		s	C
Carta 58	32	55		p	C
Carta 58	33	19		e	C
Carta 58	34	4		s	C
Carta 58	35	15		o	C
Carta 58	36	17		a	C
Carta 58	37	4		s	C
Carta 58	38	4		s	C
Carta 58	39	17		a	C
Carta 58	40	21		b	C
Carta 58	41	19		e	C
Carta 58	42	22		i	C
Carta 58	43	5		c	C
Carta 58	44	15		o	C
Carta 58	45	13		q	C
Carta 58	46	17		a	C
Carta 58	47	13		q	C
Carta 58	48	2		d	M
Carta 58	49	26		u	M
Carta 58	50	5		c	C
Carta 58	51	17		a	C
Carta 58	52	18		m	C
Carta 58	53	2		d	M
Carta 58	54	15		o	C
Carta 58	55	4		s	C
Carta 58	56	17		a	C
Carta 58	57	8		i	C
Carta 58	58	26		u	M
Carta 58	59	4		s	C
Carta 58	60	3		t	C
Carta 58	61	19		e	C
Carta 58	62	4		s	C
Carta 61	1	4		s	C
Carta 61	2	7		e	C
Carta 61	3	15		o	C
Carta 61	4	2		d	M
Carta 61	5	8		i	C
Carta 61	6	17		a	C
Carta 61	7	21		b	C
Carta 61	8	15		o	C
Carta 61	9	4		s	C
Carta 61	10	7		e	C
Carta 61	11	26		u	M
Carta 61	12	19		e	C
Carta 61	13	12		r	C
Carta 61	14	23		a	C
Carta 61	15	15		o	C
Carta 61	16	3		t	C
Carta 61	17	7		e	C
Carta 61	18	4		s	C
Carta 61	19	15		o	C
Carta 61	20	26		u	M
Carta 61	21	12		r	C
Carta 61	22	7		e	C
Carta 61	23	8		i	C
Carta 61	24	12		r	C
Carta 61	25	15		o	C
Carta 61	26	26		u	M
Carta 61	27	7		e	C
Carta 61	28	20		l	C
Carta 61	29	10		h	C
Carta 61	30	17		a	C
Carta 61	31	5		c	C
Carta 61	32	15		o	C
Carta 61	33	17		a	C
Carta 61	34	3		t	C
Carta 61	35	17		a	C
Carta 61	36	5		c	C
Carta 61	37	23		a	C
Carta 61	38	2		d	M
Carta 61	39	25		o	C
Carta 61	40	4		s	C
Carta 61	41	2		d	M
Carta 61	42	8		i	C
Carta 61	43	26		u	M
Carta 61	44	14		n	C
Carta 61	45	3		t	C
Carta 61	46	17		a	C
Carta 61	47	12		r	C
Carta 61	48	15		o	C
Carta 61	49	55		p	C
Carta 61	50	17		a	C
Carta 61	51	52		r	C
Carta 61	52	20		l	C
Carta 61	53	17		a	C
Carta 61	54	18		m	C
Carta 61	55	2		d	M
Carta 61	56	14		n	C
Carta 61	57	3		t	C
Carta 61	58	15		o	C
Carta 70	1	11		p	C
Carta 70	2	17		a	C
Carta 70	3	12		r	C
Carta 70	4	17		a	C
Carta 70	5	14		n	C
Carta 70	6	15		o	C
Carta 70	7	4		s	C
Carta 70	8	55		p	C
Carta 70	9	12		r	C
Carta 70	10	7		e	C
Carta 70	11	8		i	C
Carta 70	12	26		u	M
Carta 70	13	2		d	M
Carta 70	14	8		i	C
Carta 70	15	5		c	C
Carta 70	16	17		a	C
Carta 70	17	12		r	C
Carta 70	18	7		e	C
Carta 70	19	19		e	C
Carta 70	20	4		s	C
Carta 70	21	3		t	C
Carta 70	22	19		e	C
Carta 70	23	4		s	C
Carta 70	24	18		m	C
Carta 70	25	8		i	C
Carta 70	26	14		n	C
Carta 70	27	8		i	C
Carta 70	28	4		s	C
Carta 70	29	3		t	C
Carta 70	30	12		r	C
Carta 70	31	15		o	C
Carta 70	32	4		s	C
Carta 70	33	26		u	M
Carta 70	34	17		a	C
Carta 70	35	20		l	C
Carta 70	36	15		o	C
Carta 70	37	18		m	C
Carta 70	38	19		e	C
Carta 70	39	4		s	C
Carta 70	40	18		m	C
Carta 70	41	15		o	C
Carta 70	42	55		p	C
Carta 70	43	19		e	C
Carta 70	44	12		r	C
Carta 70	45	19		e	C
Carta 70	46	2		d	M
Carta 70	47	19		e	C
Carta 70	48	12		r	C
Carta 70	49	12		r	C
Carta 70	50	19		e	C
Carta 70	51	4		s	C
Carta 70	52	8		i	C
Carta 70	53	b±		g	M
Carta 70	54	14		n	C
Carta 70	55	17		a	C
Carta 70	56	12		r	C
Carta 70	57	4		s	C
Carta 70	58	19		e	C
Carta 70	59	2		d	M
Carta 70	60	17		a	C
Carta 70	61	12		r	C
Carta 70	62	17		a	C
Carta 70	63	310±		i	M
Carta 70	64	400±		n	M
Carta 70	65	5		c	C
Carta 70	66	14		n	C
Carta 71	1	19		e	C
Carta 71	2	4		s	C
Carta 71	3	3		t	C
Carta 71	4	17		a	C
Carta 71	5	12		r	C
Carta 71	6	19		e	C
Carta 71	7	4		s	C
Carta 71	8	55		p	C
Carta 71	9	15		o	C
Carta 71	10	4		s	C
Carta 71	11	3		t	C
Carta 71	12	17		a	C
Carta 71	13	10		h	C
Carta 71	14	19		e	C
Carta 71	15	10		h	C
Carta 71	16	c		u	M
Carta 71	17	18		m	C
Carta 71	18	y		a	C
Carta 71	19	2		d	M
Carta 71	20	12		r	C
Carta 71	21	23		a	C
Carta 71	22	14		n	C
Carta 71	23	2		d	M
Carta 71	24	24		h	M
Carta 71	25	55		p	C
Carta 71	26	17		a	C
Carta 71	27	12		r	C
Carta 71	28	26		u	M
Carta 71	29	15		o	C
Carta 71	30	8		i	C
Carta 71	31	4		s	C
Carta 71	32	19		e	C
Carta 71	33	2		d	M
Carta 71	34	19		e	C
Carta 71	35	10		h	C
Carta 71	36	26		u	M
Carta 71	37	18		m	C
Carta 71	38	16		f	M
Carta 71	39	8		i	C
Carta 71	40	14		n	C
Carta 71	41	15		o	C
Carta 71	42	26		u	M
Carta 71	43	19		e	C
Carta 71	44	20		l	C
Carta 71	45	10		h	C
Carta 71	46	y		a	C
Carta 71	47	5		c	C
Carta 71	48	15		o	C
Passage 2a	1	4		s	C
Passage 2a	2	19		e	C
Passage 2a	3	2		d	M
Passage 2a	4	24		h	M
Passage 2a	5	4		s	C
Passage 2a	6	15		o	C
Passage 2a	7	19		e	C
Passage 2a	8	4		s	C
Passage 2a	9	2		d	M
Passage 2a	10	19		e	C
Passage 2a	11	18		m	C
Passage 2a	12	8		i	C
Passage 2a	13	18		m	C
