line	pos	sign
hstam_4_h_1411_0023_L28	25	83
hstam_4_h_1411_0023_L28	26	77
hstam_4_h_1411_0023_L28	27	35
hstam_4_h_1411_0023_L28	28	96
hstam_4_h_1411_0023_L28	29	94
hstam_4_h_1411_0023_L28	30	70
hstam_4_h_1411_0023_L28	31	zz
hstam_4_h_1411_0023_L28	32	98
hstam_4_h_1411_0023_L28	33	28
hstam_4_h_1411_0023_L28	34	97
hstam_4_h_1411_0023_L28	35	10
hstam_4_h_1411_0023_L28	36	10
hstam_4_h_1411_0023_L28	37	11
hstam_4_h_1411_0023_L28	38	25
hstam_4_h_1411_0023_L28	39	24
hstam_4_h_1411_0023_L28	40	ILLEGIBLE
hstam_4_h_1411_0023_L29	1	37
hstam_4_h_1411_0023_L29	2	Y
hstam_4_h_1411_0023_L29	3	23
hstam_4_h_1411_0023_L29	4	84
hstam_4_h_1411_0023_L29	5	77
hstam_4_h_1411_0023_L29	6	73
hstam_4_h_1411_0023_L29	7	15
hstam_4_h_1411_0023_L29	8	X
hstam_4_h_1411_0023_L29	9	61
hstam_4_h_1411_0023_L29	10	83
hstam_4_h_1411_0023_L29	11	11
hstam_4_h_1411_0023_L29	12	60
hstam_4_h_1411_0023_L29	13	39
hstam_4_h_1411_0023_L29	14	31
hstam_4_h_1411_0023_L29	15	zz
hstam_4_h_1411_0023_L29	16	61
hstam_4_h_1411_0023_L29	17	57
hstam_4_h_1411_0023_L29	18	48
hstam_4_h_1411_0023_L29	19	zz
hstam_4_h_1411_0023_L29	20	44
hstam_4_h_1411_0023_L29	21	35
hstam_4_h_1411_0023_L29	22	23
hstam_4_h_1411_0023_L29	23	50
hstam_4_h_1411_0023_L29	24	79
hstam_4_h_1411_0023_L29	25	zz
hstam_4_h_1411_0023_L29	26	77
hstam_4_h_1411_0023_L29	27	93
hstam_4_h_1411_0023_L29	28	zz
hstam_4_h_1411_0023_L29	29	32
hstam_4_h_1411_0023_L29	30	49
hstam_4_h_1411_0023_L29	31	30
hstam_4_h_1411_0023_L29	32	83
hstam_4_h_1411_0023_L29	33	21
hstam_4_h_1411_0023_L29	34	70
hstam_4_h_1411_0023_L29	35	15
hstam_4_h_1411_0023_L29	36	60
hstam_4_h_1411_0023_L29	37	79
hstam_4_h_1411_0023_L29	38	83
hstam_4_h_1411_0023_L29	39	32
hstam_4_h_1411_0023_L29	40	55
hstam_4_h_1411_0023_L29	41	ILLEGIBLE
hstam_4_h_1411_0023_L29	42	93
hstam_4_h_1411_0023_L29	43	93
hstam_4_h_1411_0023_L30	1	46
hstam_4_h_1411_0023_L30	2	28
hstam_4_h_1411_0023_L30	3	74
hstam_4_h_1411_0023_L30	4	61
hstam_4_h_1411_0023_L30	5	25
hstam_4_h_1411_0023_L30	6	58
hstam_4_h_1411_0023_L30	7	61
